title | rating
As Batidas do Samba | 8.6
Being Azem | 8.6
Biker Fox | 8.6
Black Sheep | 8.6
Brown Babies: The Mischlingskinder Story | 8.6
Bury the Hatchet | 8.6
Bush League | 8.6
Cheer Up, Sam | 8.6
Chicas | 8.6
Cops | 8.6
Den relativt store DVD'en om Radioresepsjonen | 8.6
Doraleous and Associates | 8.6
EXAM | 8.6
El Heist Grande | 8.6
Freedom Hills | 8.6
Green Day: 21st Century Breakdown | 8.6
Gu Nainai | 8.6
Honorable Retribution | 8.6
In Focus | 8.6
Kismet | 8.6
La Rosi | 8.6
Legends of Ingushetia | 8.6
Let's Run Away from Her | 8.6
Life of the Party: Vol. II | 8.6
Limbo Lounge | 8.6
Lost Bohemia | 8.6
My Father from Haifa | 8.6
My Good and Beautiful Friends | 8.6
National Theatre Live: Nation | 8.6
Neighbours | 8.6
Nobody Smiling | 8.6
Novelties | 8.6
On Coal River | 8.6
On a Carousel of Sound, We Go Round | 8.6
Only a Number | 8.6
Out of Focus | 8.6
Peep Game | 8.6
Psycho Chicks Anonymous | 8.6
Rescue Men: The Story of the Pea Island Lifesavers | 8.6
Senior Prom | 8.6
Senna | 8.6
The Art of Women | 8.6
The Grand Hotel | 8.6
The World According to David Liebe Hart | 8.6
This is My Land... Hebron | 8.6
Twenty Ten | 8.6
Uçurtmam tellere takildi | 8.6
Where Are You Taking Me? | 8.6
30 Days in the Bowl | 8.5
442: Live with Honor, Die with Dignity | 8.5
50 for Izzy | 8.5
A Very Short War | 8.5
America's National Treasures | 8.5
Black Eyed Peas 3D: Live | 8.5
Brilliant Moon: Glimpses of Dilgo Khyentse Rinpoche | 8.5
Canine Instinct | 8.5
Changed Days | 8.5
Es muss was geben | 8.5
Flucht in die andere Richtung | 8.5
Free Wheels East | 8.5
Freeing Bernie Baran | 8.5
Frequency of Genius | 8.5
Gaza We Are Coming | 8.5
Getting Outer Space | 8.5
Ghost Blues: The Story of Rory Gallagher | 8.5
Highland Fling | 8.5
Into the Sky | 8.5
Kuklalar | 8.5
Leave Them Laughing | 8.5
Life Cycles | 8.5
Lucho and Ramos | 8.5
Magyar Retró | 8.5
Michael Jackson Commemorated | 8.5
Mila trazi Senidu | 8.5
Nargis: When Time Stopped Breathing | 8.5
Paparazzi: Full Throttle LA | 8.5
Pequenas voces 3d | 8.5
Phish 3D | 8.5
Salvage Dream | 8.5
Sam Hunt: Purple Balloon and Other Stories | 8.5
Season Two | 8.5
Sesame Street: C is for Cookie Monster | 8.5
Spinners | 8.5
Tao of Peace | 8.5
The Aspern Papers | 8.5
The Black Eyed Peas: The E.N.D. World Tour Live | 8.5
The Confession of Andrei Serban | 8.5
The Last First Comic | 8.5
The Love Project Journey | 8.5
The Man of a Thousand Songs | 8.5
The Rise and Fall and Rise of Sensational | 8.5
The Toll | 8.5
The U Movie | 8.5
The Wizard of Agni | 8.5
Three Stories of Galicia | 8.5
Unlisted: A Story of Schizophrenia | 8.5
Viva! Saint Agrippina | 8.5
Voces del subterráneo | 8.5
Vrindavana | 8.5
When I Rise | 8.5
12 Onzas | 8.4
77 Steps | 8.4
A Tale of Two Totters | 8.4
American Refugees: Homelessness in Four Movements | 8.4
Anger Has a Secret | 8.4
Bad Hero | 8.4
Bastards of Utopia | 8.4
Behind the Scenes | 8.4
Brent Houzenga: Hybrid Pioneer | 8.4
Bruce Springsteen & the E Street Band Houston '78 Bootleg: House Cut | 8.4
Che: A New Man | 8.4
Coals to Newcastle: The New Mastersounds, from Leeds to New Orleans | 8.4
Comando e controllo | 8.4
Cruz Reynoso: Sowing the Seeds of Justice | 8.4
Dancing on a Dry Salt Lake | 8.4
Deconstructing Dad: The Music, Machines and Mystery of Raymond Scott | 8.4
Dudamel: Let the Children Play | 8.4
Dve ali tri stvari, ki jih vem o njej | 8.4
Dying for the Truth | 8.4
Emma Mae Street Hood | 8.4
Exhaling Music | 8.4
Finding Nico | 8.4
Genpin | 8.4
Giorgione da Castelfranco, sulle tracce del genio | 8.4
God of War: Unearthing the Legend Franchise Documentary | 8.4
Heart 2 Heart | 8.4
Justice for Sergei | 8.4
Karamay | 8.4
Korespondent Bryan | 8.4
Le coeur d'Auschwitz | 8.4
Leo in the City | 8.4
Living Skin | 8.4
M.A.R.C.O. | 8.4
Mitti | 8.4
Music from the Big House | 8.4
Natarang | 8.4
National Theatre Live: London Assurance | 8.4
Numb | 8.4
One Big Hapa Family | 8.4
One, the Story of a Goal | 8.4
One-Eyed Doll: A Rockumentary | 8.4
Passion | 8.4
Pink Halo-Halo | 8.4
Prasthanam | 8.4
Rainbows End | 8.4
Raw Faith | 8.4
Rh11 | 8.4
Rouge ciel | 8.4
Rush: Beyond the Lighted Stage | 8.4
Sea the Truth | 8.4
Spitfire Sisters | 8.4
Suika | 8.4
Swooped from Nothing | 8.4
The Book | 8.4
The Lost Civilizations of North America | 8.4
The Play-Station Killed the Puppet | 8.4
The Seattle Pilots: Short Flight Into History | 8.4
The Secret Life of Chaos | 8.4
The War You Don't See | 8.4
Thespians | 8.4
Trans Francisco | 8.4
Viktor & I: An Alexander Vesely Film | 8.4
What If Cannabis Cured Cancer | 8.4
When Playboys Ruled the World | 8.4
You're Looking at Me Like I Live Here and I Don't | 8.4
*MEI [MEIG] Voci migranti | 8.3
A nord est | 8.3
All That Glitters | 8.3
Arias with a Twist | 8.3
Awka Liwen | 8.3
Bach & Friends | 8.3
Beheading Buddha | 8.3
Bijelo Dugme | 8.3
Born to Be Our Children: Romanian Adoption Stories | 8.3
Bouncing Cats | 8.3
Broken Tail | 8.3
Burn Crisis | 8.3
Bury our Dogs | 8.3
Cangleska Wakan | 8.3
Canvasman: The Robbie Ellis Story | 8.3
Cartoneo y nopalitos | 8.3
Chosin | 8.3
Coexist | 8.3
Concrete Pharaohs | 8.3
Das Kind (L'enfant) | 8.3
Deranged High | 8.3
Doina groparilor | 8.3
Eddie Macken: True Legend | 8.3
Eisis | 8.3
Eskrimadors | 8.3
Fields of November | 8.3
Found Footage Festival Volume 5: Live in Milwaukee | 8.3
Great White Life | 8.3
Guilt & Sentence | 8.3
Have You Heard from Johannesburg: The New Generation | 8.3
Hermoso Silencio | 8.3
Incendies | 8.3
JLS: Only Tonight - Live from London | 8.3
Jeffie Was Here | 8.3
José and Pilar | 8.3
Karma Road | 8.3
Kuru: The Science and the Sorcery | 8.3
Leopards of Dead Tree Island | 8.3
Letters from the Desert (Eulogy to Slowness) | 8.3
Maiden Heaven | 8.3
Mongolia: In the Shadow of Genghis Khan | 8.3
Most Valuable Players | 8.3
My Life with Carlos | 8.3
National Theatre Live: The Habit of Art | 8.3
Permaculture Soils | 8.3
Pizza with Bullets | 8.3
Postales | 8.3
Pranchiyettan and the Saint | 8.3
Refrains Happen Like Revolutions in a Song | 8.3
Remembering Playland at the Beach | 8.3
Return to Dwight and Nile: The Crash of PSA Flight 182 | 8.3
Roger's Pass | 8.3
Romans d'ados 2002-2008: 2. La crise | 8.3
Romans d'ados: 2002-2008 1. La fin de l'innocence | 8.3
Safe by My Side | 8.3
Schmuck der Strasse | 8.3
Sweet Ninja Brown | 8.3
The Barrel of a Gun | 8.3
The Call of the Mountain | 8.3
The Enid: Live at Town Hall, Birmingham | 8.3
The Great Intervention | 8.3
The Great Mystery | 8.3
The Inquisition | 8.3
The Klezmatics: On Holy Ground | 8.3
The Performance | 8.3
The Visit | 8.3
Toy Story 3 | 8.3
Valea Corlatului | 8.3
We Are the Sea | 8.3
We're All in This Together | 8.3
Wildwater | 8.3
William Krisel, Architect | 8.3
48 | 8.2
93: La belle rebelle | 8.2
A Surprise in Texas | 8.2
Adrift: People of a Lesser God | 8.2
Anyone You Want | 8.2
As We Forgive | 8.2
Baby Alligators | 8.2
Beyond the Myth: A Film About Pit Bulls and Breed Discrimination | 8.2
Blue Bus | 8.2
Cancer: The Forbidden Cures | 8.2
Chickens in the Shadows | 8.2
Computer Love | 8.2
Dark Fall | 8.2
Dores & Amores | 8.2
Dreamcatchers | 8.2
Dreaming Film | 8.2
Dry Run | 8.2
Eeeee Eee Eeee: The Movie | 8.2
Els monstres de ca meva (Los monstruos de mi casa) | 8.2
Everywhere and Nowhere | 8.2
Fire in the Heartland: Kent State, May 4, and Student Protest in America | 8.2
Flagellare | 8.2
Football Fables | 8.2
Footsteps in the Sand | 8.2
Fragile | 8.2
Frances: A Mother Divine | 8.2
Francesco Nuti... e vengo da lontano | 8.2
Furious Love | 8.2
Gary Has No Pants | 8.2
Go West Happy Cow | 8.2
Greenlit | 8.2
HIV: Si Heidi, si Ivy at si V | 8.2
High on Hope | 8.2
